Time,HR,Temp,BVP,x,y,z
00:02:09,85.32,39.53,147.15,5,2,65
00:02:10,85.25,39.53,140.14,3,3,65
00:02:11,85.2,39.53,133.11,3,4,64
00:02:12,85.13,39.53,126.12,-3,5,64
00:02:13,85.05,39.47,119.23,-4,5,64
00:02:14,84.92,39.47,112.5,-2,6,62
00:02:15,84.78,39.47,106.01,-5,6,62
00:02:16,84.63,39.47,99.82,-7,5,60
00:02:17,84.48,39.47,93.95,-4,5,61
00:02:18,84.32,39.47,88.43,-2,7,59
00:02:19,84.12,39.47,83.26,-2,8,58
00:02:20,83.9,39.47,78.44,-5,11,58
00:02:21,83.67,39.41,74,-4,11,60
00:02:22,83.45,39.41,69.94,1,11,67
00:02:23,83.25,39.41,66.26,1,9,67
00:02:24,83.07,39.41,63,1,7,68
00:02:25,82.9,39.41,60.14,-1,6,64
00:02:26,82.75,39.41,57.68,-3,5,63
00:02:27,82.6,39.41,55.61,-3,5,61
00:02:28,82.45,39.41,53.91,-3,5,61
00:02:29,82.32,39.39,52.54,-3,5,61
00:02:30,82.2,39.39,51.43,-4,5,62
00:02:31,82.07,39.39,50.47,-4,5,64
00:02:32,81.93,39.39,49.53,-4,5,65
00:02:33,81.78,39.39,48.47,-4,5,65
00:02:34,81.63,39.39,47.08,-5,5,65
00:02:35,81.48,39.39,45.22,-5,4,64
00:02:36,81.38,39.39,42.72,-5,4,64
00:02:37,81.27,39.34,39.47,-4,4,63
00:02:38,81.15,39.34,35.42,-4,4,63
00:02:39,81.03,39.34,30.59,-4,3,63
00:02:40,80.93,39.34,25.04,-3,3,63
00:02:41,80.88,39.31,18.93,-3,3,63
00:02:42,80.83,39.31,12.47,-3,3,64
00:02:43,80.83,39.31,5.91,-4,2,64
00:02:44,80.85,39.31,-0.46,-4,3,63
00:02:45,80.88,39.27,-6.38,-5,3,63
00:02:46,80.93,39.27,-11.62,-4,4,63
00:02:47,81.05,39.27,-16,-4,4,62
00:02:48,81.15,39.27,-19.4,-5,4,62
00:02:49,81.23,39.27,-21.79,-5,4,62
00:02:50,81.3,39.27,-23.18,-6,4,62
00:02:51,81.35,39.27,-23.68,-6,5,63
00:02:52,81.4,39.27,-23.42,-6,4,63
00:02:53,81.45,39.27,-22.58,-7,4,63
00:02:54,81.48,39.27,-21.32,-8,1,63
00:02:55,81.53,39.27,-19.81,-8,0,64
00:02:56,81.63,39.27,-18.18,-7,-1,65
00:02:57,81.75,39.29,-16.54,-7,-1,64
00:02:58,81.87,39.29,-14.94,-7,-5,64
00:02:59,82,39.29,-13.38,-6,-6,64
00:03:00,82.13,39.29,-11.88,-5,-7,63
00:03:01,82.27,39.25,-10.42,-5,-7,63
00:03:02,82.4,39.25,-8.97,-4,-6,62
00:03:03,82.52,39.25,-7.49,-4,-6,61
00:03:04,82.63,39.25,-5.93,-5,-6,62
00:03:05,82.73,39.25,-4.27,-5,-5,63
00:03:06,82.83,39.25,-2.48,-5,-5,63
00:03:07,82.92,39.25,-0.53,-5,-4,63
00:03:08,82.98,39.25,1.62,-5,-4,64
00:03:09,83.02,39.21,3.94,-5,-4,64
00:03:10,83.05,39.21,6.41,-4,-4,64
00:03:11,83.08,39.21,9.06,-5,-3,64
00:03:12,83.12,39.21,11.91,-5,-3,64
00:03:13,83.18,39.18,15,-5,-2,63
00:03:14,83.32,39.18,18.37,-6,-1,63
00:03:15,83.47,39.18,22.09,-7,0,63
00:03:16,83.63,39.18,26.19,-7,0,63
00:03:17,83.78,39.23,30.76,-8,1,63
00:03:18,83.93,39.23,35.67,-8,1,63
00:03:19,84.08,39.23,40.88,-9,1,63
00:03:20,84.23,39.23,46.31,-9,2,63
00:03:21,84.37,39.18,51.92,-9,4,63
00:03:22,84.45,39.18,57.66,-11,4,63
00:03:23,84.48,39.18,63.52,-12,5,63
00:03:24,84.48,39.18,69.48,-11,4,63
00:03:25,84.48,39.15,75.56,-10,4,63
00:03:26,84.52,39.15,81.82,-9,3,63
00:03:27,84.57,39.15,88.12,-9,3,63
00:03:28,84.62,39.15,94.35,-8,4,63
00:03:29,84.67,39.13,100.48,-9,5,63
00:03:30,84.73,39.13,106.47,-9,6,62
00:03:31,84.82,39.13,112.31,-9,6,62
00:03:32,84.95,39.13,118.02,-10,5,62
00:03:33,85.05,39.11,123.63,-10,5,63
00:03:34,85.13,39.11,129.18,-9,3,63
00:03:35,85.17,39.11,134.77,-9,3,64
00:03:36,85.15,39.11,140.17,-9,3,63
00:03:37,85.12,39.05,145.23,-9,5,63
00:03:38,85.08,39.05,149.79,-9,6,62
00:03:39,85,39.05,153.67,-9,6,62
00:03:40,84.88,39.05,156.62,-9,6,63
00:03:41,84.7,39.07,158.33,-9,6,64
00:03:42,84.47,39.07,158.32,-8,6,63
00:03:43,84.2,39.07,155.92,-8,5,63
00:03:44,83.92,39.07,152.3,-8,5,62
00:03:45,83.6,39.03,147.88,-8,6,62
00:03:46,83.27,39.03,142.87,-9,6,62
00:03:47,82.92,39.03,137.41,-9,7,62
00:03:48,82.57,39.03,131.57,-9,7,63
00:03:49,82.23,38.99,125.43,-9,8,63
00:03:50,81.95,38.99,119.06,-9,8,63
00:03:51,81.7,38.99,112.51,-9,8,63
00:03:52,81.47,38.99,105.9,-8,9,62
00:03:53,81.25,39,99.35,-8,9,63
00:03:54,81.05,39,92.72,-8,9,62
00:03:55,80.82,39,85.91,-7,9,62
00:03:56,80.52,39,78.93,-7,9,62
00:03:57,80.22,38.97,71.76,-8,8,63
00:03:58,79.93,38.97,64.48,-9,8,63
00:03:59,79.65,38.97,57.14,-9,9,63
00:04:00,79.35,38.97,49.85,-9,9,62
00:04:01,79.05,38.95,42.76,-9,9,62
00:04:02,78.77,38.95,36.06,-9,9,62
00:04:03,78.52,38.95,29.72,-8,8,63
00:04:04,78.28,38.95,23.77,-8,8,64
00:04:05,78.08,38.97,18.27,-8,8,64
